shot_id,useful,campaign
50809,1,MU04-SCEN-03
50808,1,MU04-SCEN-03
50807,1,MU04-SCEN-01
50806,1,MU04-SCEN-03
50798,1,MU04-SCEN-02
50797,1,MU04-SCEN-02
50796,1,MU04-SCEN-04
50795,1,MU04-SCEN-02
50794,1,MU04-MHD-01
50793,1,MU04-SCEN-02
50792,1,MU04-SCEN-02
50791,1,MU04-SCEN-03
50790,1,MU04-SCEN-02
50789,1,MU04-MHD-02
50788,1,MU04-MHD-02
50787,1,MU04-MHD-02
50786,1,MU04-SCEN-02
50785,1,MU04-WPTE-08
50784,1,MU04-WPTE-08
50782,1,MU04-MHD-02
50781,1,MU04-MHD-02
50780,1,MU04-MHD-02
50779,1,MU04-MHD-02
50778,1,MU04-MHD-02
50777,1,MU04-MHD-02
50776,1,MU04-MHD-02
50775,1,MU04-MHD-02
50774,1,MU04-MHD-02
50773,1,MU04-SCEN-02
50772,1,MU04-MHD-02
50771,1,MU04-MHD-02
50770,1,MU04-MHD-02
50769,1,MU04-MHD-02
50768,1,MU04-WPTE-08
50767,1,MU04-WPTE-08
50766,1,MU04-WPTE-08
50765,1,MU04-WPTE-08
50764,1,MU04-WPTE-08
50763,1,MU04-WPTE-08
50762,1,MU04-WPTE-08
50761,1,MU04-WPTE-08
50760,1,MU04-WPTE-08
50759,1,MU04-WPTE-08
50758,1,MU04-WPTE-08
50756,1,MU04-WPTE-08
50755,1,MU04-WPTE-08
50754,1,MU04-WPTE-08
50753,1,MU04-WPTE-08
50752,1,MU04-WPTE-08
50751,1,MU04-WPTE-08
50749,1,MU04-WPTE-08
50748,1,MU04-SCEN-04
50747,1,MU04-CTRL-01
50746,1,MU04-SCEN-04
50745,1,MU04-SCEN-04
50744,1,MU04-SCEN-04
50743,1,MU04-SCEN-04
50742,1,MU04-SCEN-04
50741,1,MU04-SCEN-04
50740,1,MU04-SCEN-04
50738,1,MU04-WPTE-09
50737,1,MU04-WPTE-09
50736,1,MU04-WPTE-09
50733,1,MU04-WPTE-09
50731,1,MU04-WPTE-09
50730,1,MU04-WPTE-09
